,Unix Time,Microseconds,easting,northing,Heading (degrees)
17628,1722679406,188000,525696.3813572451,5681198.052604732,289.6256464640507
17629,1722679406,193000,525696.381370452,5681198.0525893355,289.62562703595705
17630,1722679406,198000,525696.3813862266,5681198.052567617,289.6255881797697
17631,1722679406,203000,525696.3814013476,5681198.052542823,289.62562703595705
17632,1722679406,208000,525696.3814167439,5681198.052516042,289.62549103930155
17633,1722679406,213000,525696.3814332092,5681198.052488571,289.62549103930155
17634,1722679406,218000,525696.3814507246,5681198.052462092,289.62562703595705
17635,1722679406,223000,525696.3814688935,5681198.052438358,289.6257630326125
17636,1722679406,228000,525696.3814874873,5681198.05241765,289.62603502592344
17637,1722679406,233000,525696.3815067912,5681198.0523999,289.62603502592344
17638,1722679406,238000,525696.3815262599,5681198.052383981,289.6263070192344
17639,1722679406,243000,525696.381544791,5681198.05236835,289.6261904506726
17640,1722679406,248000,525696.3815623448,5681198.052352256,289.62652072826444
17641,1722679406,253000,525696.3815794977,5681198.052334714,289.62665672491994
17642,1722679406,258000,525696.3815967034,5681198.052315131,289.6268315777627
17643,1722679406,263000,525696.382561071,5681198.054279209,289.6264430158899
17644,1722679406,268000,525696.3825823532,5681198.054265075,289.6265013001708
17645,1722679406,273000,525696.3826033418,5681198.054249873,289.6274532767591
17646,1722679406,278000,525696.3826243199,5681198.054233765,289.6272589958228
17647,1722679406,283000,525696.3826488984,5681198.054213642,289.6272395677291
17648,1722679406,288000,525696.3826695321,5681198.054197179,289.6274532767591
17649,1722679406,293000,525696.382686836,5681198.05418475,289.627569845321
17650,1722679406,298000,525696.382709376,5681198.054170685,289.6277446981637
17651,1722679406,303000,525696.3827327439,5681198.05415949,289.62801669147467
17652,1722679406,308000,525696.3827567328,5681198.054151307,289.6282498285983
17653,1722679406,313000,525696.3827809168,5681198.0541454395,289.628482965722
17654,1722679406,318000,525696.3828050843,5681198.054140728,289.6284052533474
17655,1722679406,323000,525696.382828596,5681198.0541348085,289.6285995342838
17656,1722679406,328000,525696.3828508917,5681198.054127546,289.6288520995012
17657,1722679406,333000,525696.382872671,5681198.054118504,289.6288909556884
